# m abs(m) abs(m)^2 abs(m)^4
0.00744062+-0.00291742j 0.289636 0.104765 0.0207912
-0.00491563+0.000503377j 0.284802 0.101109 0.0192286
0.00202187+-0.00138023j 0.281787 0.0994457 0.0188184
-0.00449375+0.00395124j 0.291532 0.106115 0.0212989
-0.00258125+-0.000801073j 0.289075 0.105067 0.0211813
-0.00208438+0.00279834j 0.287972 0.103367 0.020079
-0.00685625+-0.004276j 0.290775 0.105549 0.0207928
-0.00756875+-0.00854118j 0.289151 0.104223 0.0205156
0.00139375+-0.00300944j 0.288298 0.105613 0.0223596
-0.00794375+0.00306356j 0.29465 0.108036 0.0219142
